id;timestamp;category;product;brand;size;price;availability
4b95d7e51cebcf6ca221d0a5d8034008;2019-11-22 00:35:50 0000;Wellness & Common Pharma;Band Aid Washproof Antiseptic Adhesive Band Aid  (Set of 10);Band Aid;1;25;TRUE
2919bf48f52ea88e2a5dfefcc2d03c9d;2019-11-14 00:29:17 0000;Ketchups & Spreads;American Garden U.S Mayonnaise 237 ml;American Garden;237 ml;202;TRUE
9d5f0bb976341755278f220549061ef7;2019-11-05 00:36:10 0000;Detergents & Laundry;Safewash Gentle Wash Fresh Liquid Detergent  (Combo Pack 1  1 Free, 1 kg each)  (1000 g);Safewash;1000 g;297;TRUE
593b06ce0439aed5b0ba459df130a587;2019-11-23 03:11:21 0000;Kajal & Makeup;Maybelline New York Color Sensational Powder Matte Lipstick  (Cherry Chic, 3.9 g);Maybelline;Shade   Almond Pink   Raw Cocoa   Rosewood Red   Toasted Brown   Walnut;465;TRUE
0e666207c1174e09b0eb5beb35c87d9f;2019-11-15 00:23:57 0000;Dry Fruits, Nuts & Seeds;Happilo Premium Organic Authentic Flax seeds Roasted  (250 g);Happilo;250 g;112;TRUE
cd9880e5a7a971a172a3cbebd47a96f4;2019-11-10 00:24:02 0000;Atta & Flours;Origo Fresh Barley  (200 g);Origo Fresh;200 g;22;TRUE
72311503bd132cf1d06de5d9722625d4;2019-11-01 00:29:38 0000;Chocolates & Sweets;Nestle Kitkat Dessert Delight Truffle Bars  (50 g);Nestle;50 g;50;TRUE
502246d95e1963d7cff71de72b0caebb;2019-11-02 00:33:24 0000;Chocolates & Sweets;Monginis Muffins Cake Fruit  (132 g);Monginis;132 g;40;TRUE
23a5a7f09e21cc92b6cfbbb5f3f508a2;2019-11-13 00:31:46 0000;Chocolates & Sweets;Hershey's Whole Almonds Bars  (100 g);Hershey's;100 g;134;TRUE
36d587f2b8e58a997130d12cf8ca0d43;2019-11-27 00:31:55 0000;Ketchups & Spreads;Fun Foods Tandoori Mayonnaise 245 g;Fun Foods;245 g;66;TRUE
ba3157f8b08456f91ec6a930ec5c17df;2019-11-23 03:12:05 0000;Soft Drinks;Cocojal Tender Coconut Water - Pineapple Flavor  (200 ml);Cocojal;200 ml Plastic Bottle;38;TRUE
96a68c799b7bba5acb6e0722f2614635;2019-11-23 03:17:48 0000;Repellants & Fresheners;All Out Ultra Mosquito Vaporiser Refill;All Out;6x45 ml;401;TRUE
1b65654ff2183b8ced8fd6f667ea56d3;2019-11-24 00:32:32 0000;Cooking Sauces & Vinegar;Wow Apple Cider Vinegar  (400 ml);Wow;400 ml;371;TRUE
a9211adc83c1640486d59c5100b0172b;2019-11-12 00:47:59 0000;Chips,Namkeen & Snacks;Pringles Original Potato Chips  (107 g);Pringles;107 g;86;TRUE
178c038af427652ab7ad1513263b0993;2019-11-07 00:31:32 0000;Soaps & Body Wash;Himalaya Fairness Kesar Face Wash  (150 ml);Himalaya;150 ml;136;TRUE
fbdbf41b60eb5c8d2de04efbc743d040;2019-11-03 00:31:28 0000;Creams, Lotions, Skin Care;Ponds Moisturizing Cold Cream  (55 ml);Ponds;55 ml;95;TRUE
0a63766d2b463601c048f50e9a9e0210;2019-11-05 00:30:48 0000;Soaps & Body Wash;Liril Lemon and Tea Tree Oil Body Wash  (250 ml);Liril;250 ml;135;TRUE
b578fcf8c49e2f268e559cb1121a2dd4;2019-11-16 00:32:13 0000;Oral Care;Pepsodent Germicheck Healthy Fresh Toothpaste  (200 g);Pepsodent;200 g;80;TRUE
96e0dc8246cd572f35b8aa920eace1b6;2019-11-06 00:31:50 0000;Soaps & Body Wash;Garnier Men Power White Anti-Pollution Double Action Face Wash  (50 g);Garnier Men;50 g;81;TRUE
89d24cfbd04a6a36efb9b352af90aa2a;2019-11-13 00:33:15 0000;Deos, Perfumes & Talc;Park Avenue Cool Blue Fragrance Deo Talc  (100 g);Park Avenue;100 g;44;TRUE
7ae79c81c3f77858d786abc1520c41c8;2019-11-26 00:35:14 0000;Utensil Cleaners;Scotch Brite Super Strong Scrub Pad  (Regular);Scotch Brite;Pack of 1;41;TRUE
5b6426ca57f7a813629d5aa276deff03;2019-11-03 00:25:19 0000;Masalas & Spices;Flipkart Supermart Select Ajwain Whole  (100 g);Flipkart Supermart Select;100 g;44;TRUE
66f811ebb6016c9b4f2a6a06d2b74174;2019-11-12 00:46:23 0000;Juices;Real Fruit Juice - Pineapple  (1 L);Real;1 L Tetrapack;100;TRUE
b5d6f1ede4ab57615f7c3e15ac406bdc;2019-11-21 00:24:18 0000;Biscuits;Britannia Milk Bikis Biscuits  (200 g);Britannia;200 g;25;TRUE
d12c5b41696216a8b4fa94c2700ae6c2;2019-11-05 00:34:05 0000;Creams, Lotions, Skin Care;Lotus Herbals Lip Therapy Velvety Rose  (Pack of: 1, 4 g);Lotus Herbals;Flavor Velvety Rose @388/10g Velvety Rose;155;TRUE
fe91d02abd90c5314923d64e1703e8cd;2019-11-23 03:09:57 0000;Deos, Perfumes & Talc;Engage M4 Deodorant Spray - For Men  (120 ml);Engage;120 ml;160;TRUE
866cad1f84d39cb485b4d76fd3e932ae;2019-11-23 00:45:34 0000;Repellants & Fresheners;Odonil Smile Lol French Melody Blocks (Pack of 2)  (2 Units);Odonil Smile Lol;2 Units;45;TRUE
8e8080329aa78c21dee250f5e5d0f204;2019-11-23 03:27:30 0000;Ready To Cook;Weikfield Freeze Icecream Mix Powder Kesar Pista 100 g;Weikfield;100 g;40;TRUE
0276d0b2ad70a93fa9b506f8d76f3ae2;2019-11-23 03:27:11 0000;Soaps & Body Wash;Nivea Men Vitality Fresh Shower Gel  (250 ml);Nivea Men;250 ml;181;TRUE
4ead4a7e5f1de3737d02732dec401182;2019-11-30 00:26:07 0000;Biscuits;Unibic Fruit and Nut Cookies  (500 g);Unibic;500 g;93;TRUE
eb1a2fa0a3ffa31ad9ade49d97546576;2019-11-06 00:22:51 0000;Masalas & Spices;MDH Sambhar Masala  (50 g);MDH;50 g;31;TRUE
cba57fc920d3de2ede17923f523d4143;2019-11-26 00:29:23 0000;Chocolates & Sweets;Karachi Bakery Assorted Soan Papdi Box  (900 g);Karachi Bakery;900 g;251;TRUE
ea67eb051d91d7b3855d6205d0d85200;2019-11-09 00:28:07 0000;Chocolates & Sweets;Chandan Jeera Goli Mouth Freshener;Chandan;100 g;47;TRUE
8bb51c48e6dc665bbe90159ef55fe57d;2019-11-12 00:51:10 0000;Health Drink Mix;MTR Badam Drink Mix  (500 g);MTR;500 g Plastic Bottle;176;TRUE
610aa75b364d4b8f1659939965c5b74a;2019-11-11 00:24:36 0000;Masalas & Spices;24 Mantra Organic Cloves  (50 g);24 Mantra Organic;50 g;213;TRUE
